file	paragraph	score	chars	preview
046.邓毛毛忆陈毅.txt	4	5	64	毛毛在文章中回忆说：“他们那一代的人，一起战斗、生活几十年，相知甚深。他们是同志、是战友，他们之间的关系，亲如兄弟，甚于兄弟。”
046.邓毛毛忆陈毅.txt	6	3	85	毛毛还回忆了她父亲、刘伯承和陈毅1947年共率中国人民解放军中原、华东两个野战军，取得淮海战役和渡江战役的伟大胜利。说“那时的总前委常委是他们三人，三人一体，不可分割”。
046.邓毛毛忆陈毅.txt	8	5	323	1966年“文革”爆发，毛毛回忆说：“为了应付日益混乱的局面，在中央一线主持工作的刘少奇和父亲先后派出近万人，组成工作组，但是他们受到了毛主席的批评。周总理、陈毅、陶铸、李先念等中央领导人再三地说服、劝阻、制止当时的各种疯狂过火行为。陈伯伯的讲话更是直率，他说：‘北京目前打的风气很浓，不能提倡！’‘工作组是我派的，工作组的错误由我来承担。’‘我的后台是谁？当然是毛主席了。各人有各人的账，我有我的账，不要用大帽子压人，压也是压不住的！’”当时还传说，当外语学院的造反派斗争陈伯伯时，陈伯伯毫不退让，他拿出《毛主席语录》
046.邓毛毛忆陈毅.txt	9	7	107	1967年10月，刘少奇、邓小平两家的孩子被赶出了中南海的家。这之前，毛毛和她姐姐曾在胡同口见到陈毅，她们正要绕道走开，陈毅却叫着她们的名字问：“都好吗？”毛毛强忍泪水说：“都好。”不想，这竟是最后一次见到陈伯伯。
046.邓毛毛忆陈毅.txt	10	5	118	三年后，她们被允许和在江西软禁的父母相见，又过了一年多的时间，邓小平一家在江西从广播中听到陈毅于1972年1月6日逝世的消息，全家人十分悲恸。后来才知道，陈毅和林彪、“四人帮”进行了不妥协的斗争，终因忧国忧民心境不爽而身患癌症不幸辞世。
047.警察含笑入图来.txt	2	5	351	《自立晚报》登：“民进党主席黄信介上午前往立法院，欲进入议场时，遭驻院警卫强力阻挡，发生推挤后，转出议场外的阶梯上静坐。黄信介并表示，他心中很难过，他也很同情驻卫警，因为他们‘连不合理的命令也要服从’。并指立院的运作，显然郝柏村的面子比总统的命令更重要。10点左右，黄信介欲上厕所，结果引来大群驻卫警陪同前往。10点10分院会休息时间，谢长廷出来向黄信介报告表示，双方已‘打成平手’，黄不能进入议场，郝柏村也不用上台。此时黄碰到一位老委员出来，相互握手打招呼，黄对他说：‘现在你好像真委员，我倒像是假委员了。’因为100
047.警察含笑入图来.txt	3	3	50	看了最后警察对黄信介的态度，可知国民党作弄民进党，可真作弄得令人哭笑不得呢！（1991年9月24日）
048.王小痴死于三军总医院庸医之手.txt	2	3	70	宣中仪、赖智信向我报告三军总医院误诊王小痴情形，中午约她们吃饭。从病历上，查不出什么“庸医杀人”的明显证据。但事实上，小痴明明死于庸医之手。
049.朱高正之无耻.txt	2	5	69	报上说：“行政院长郝柏村与各部会首长，昨天晚上在三军军官俱乐部宴请执政党籍立委。中华社民党主席朱高正也参加了宴会，并陪在郝院长的座位旁。”
050.我爱“黑煞日”.txt	5	3	40	我死后并不要在什么殡仪馆做仪式。如果有人要强制为我做，盼找“黑煞日”，我最爱也！
050.我爱“黑煞日”.txt	6	3	39	我不迷信，生前既“鬼月”买房，死后自然“黑煞日”快活。（1991年9月25日）
053.钱其琛抨击美国的人权论.txt	2	5	390	钱其琛9月25日在联大演说指出：长期以来，联合国人权讲坛却被某些国家利用为进行冷战的场所，致使联合国促进和保护人权的努力受到种种不正常现象的影响。例如，将人权作为推行强权政治的手段，干涉基本上属于他国国内管辖的事务；割裂人权概念，奉行双重标准；在人权问题上美化自己、攻击别人，不顾国际公约和各国的具体情况，只以自己的好恶作为人权的标准等等。这不但违背了“宪章”的宗旨和原则，而且严重损害了人权领域中正常的国际合作，阻碍了全人类人权和基本自由的普遍实现。中国大陆是一个有11亿5000万人口的发展中国家，每年要净增人口17
053.钱其琛抨击美国的人权论.txt	7	5	37	他说：“促进全人类人权和基本自由的普遍实现，与全人类的共同利益息息相关。”
053.钱其琛抨击美国的人权论.txt	9	5	215	“然而，长期以来，联合国人权讲坛却被某些国家利用为进行冷战的场所，致使联合国促进和保护人权的努力受到种种不正常现象的影响。例如，将人权作为推行强权政治的手段，干涉基本上属于他国国内管辖的事务；割裂人权概念，奉行双重标准；在人权问题上美化自己，攻击别人，不顾国际公约和各国的具体情况，只以自己的好恶作为人权的标准等等。这不但违背了“宪章”的宗旨和原则，而且严重损害了人权领域中正常的国际合作，阻碍了全人类人权和基本自由的普遍实现。”
055.何来John Samuelson！.txt	4	3	70	一见之下，为之大笑。《联合报》竟把约翰逊Samuel Johnson错成John Samuelson！真荒谬绝伦也！（1991年9月28日）
056.梁肃戎不但无耻，而且肉麻.txt	6	3	79	看来令人浑身起鸡皮疙瘩。梁肃戎不但无耻，而且肉麻。龚定盦有诗道：“万人丛中一握手，使我衣袖三年香。”系指对贤者而言，宋美龄又算老几啊？（1991年9月28日）
058.李远哲的“感性”戏.txt	2	5	154	昨天李远哲应邀到大学教育改革促进会主办的“大学教育研讨会”上致词时，谈到当年在台大大一时大家都要选三民主义，回想当时的通识教育，最糟糕的还是三民主义。他指出，他并非抨击思想课程，也不是不懂三民主义，而是认为大学生要修的社会学科很多，三民主义至多只有百分之五至百分之十的分量，却要花两个学期去学习，没什么道理。
058.李远哲的“感性”戏.txt	4	7	98	昨天是教师节，当年被李远哲选过课的黄祝贵，被大学教育改革促进会选为“值得尊敬的好老师”。李远哲在致词时特别向黄老师表示敬意。他感性的说：“在台大，经过三十多年仍能留下这么深刻印象的老师还不太多。”
058.李远哲的“感性”戏.txt	6	3	67	黄祝贵也教过我，还到我宿舍来看我，签名送了他著的一本书。我真怀疑李远哲了解多少黄祝贵，他趁机演“感性”戏而已。（1991年9月29日）
059.《女人女人》票选风云男女.txt	5	6	95	【台北讯】中视《女人女人》节目即将迈入第一百集，制作单位将于下周六在中视摄影棚内举行酒会，并公开经由观众以通讯票选“男女风云人物”排行榜的统计结果，以目前的统计票数来看，李敖、李昂分别夺魁。
059.《女人女人》票选风云男女.txt	6	4	77	《女人女人》一般都以谈话为主要内容，这次为庆贺播出一百集而将综艺歌唱与酒会结合，在节目中将以曾上过该节目的男女特别来宾为对象，供观众票选“男女风云人物”。
059.《女人女人》票选风云男女.txt	7	5	137	据制作单位表示，“男女风云人物”各选五名，以目前票数统计的排行情形是，男性以李敖最多票，依次是罗大佑、苦苓、朱高正、侯德健；女性则以李昂居冠，依次是施寄青、蔡琴、甄妮、邱彰。制作单位特别强调，被选出来的人选仅限于曾上过《女人女人》节目的特别来宾而已。（1991年9月29日）
061.党外人士最后中了国民党下的毒.txt	3	3	171	我对所有党外时代的朋友，都淡漠处之了。他们在我一生中，曾经在共同打倒国民党的战线上统一过，但在最后，我朝前朝大路去了，他们却误入了歧途。令人苦笑的是，国民党最后是贏家，它自己虽被反对者打得鼻青眼肿，但它下的毒，最后还是发作在反对者的身上。——看到反对者那样浑、那样小格局的处理台湾问题，岂不正是国民党四十年教化之功么？（1991年9月30日）
063.“最后的晚餐”.txt	2	5	64	陆啸钊邀吃豪华大餐，燕窝、鱼翅、鲍鱼、龙虾等一应俱全，生平没吃过如此奢侈的。在座有陈良榘、王惠群及“老婆们”。最后惠群抢付了账。
063.“最后的晚餐”.txt	5	4	73	我对知识的专注，使我完全在娱乐上交游上“隔世”了，我也甘愿“隔世”，我决定这是“最后的晚餐”，以后晚餐不和友人在外面吃了。（1991年10月2日）
064.《一江春水向东流》还在查禁中.txt	2	5	30	今天报上登：“《一江春水向东流》遭禁，片商诉愿被驳回”。说：
064.《一江春水向东流》还在查禁中.txt	5	5	145	由于电影资料馆曾于今年3月举行“三四十年代经典国片特展”，放映包括《夜半歌声》、《马路天使》等多部和《一江春水向东流》同样背景的国片，得到新闻局全力支持，但片商引进《一江春水向东流》，却遭受完全相反的待遇，片商对被牺牲感到不服，希望能在收到新闻局正式的驳回公文后，再设法和新闻局进一步沟通。
065.冒充自己.txt	2	5	55	家具店小朋友送“李敖先生”买的货来，我签收了。小朋友问：“你是李敖的什么人？”我笑答道：“我是冒充李敖的人。”
067.女作家及诺贝尔奖.txt	5	5	89	戈迪默说：“不管你写什么，不管那些检查人员认为那多么的‘具煽动性’，在南非，你不可能用你的作品去激发群众，因为群众是不读这些东西的。”此言甚令人哭笑不得。（1991年10月4日）
068.大陆播出日军细菌部队暴行.txt	2	5	67	报上说：大陆中央电视台最近播放为纪念“九一八”六十周年而创作的《荒原城堡七三一》电视剧集，展现日军“七三一”石井细菌部队在中国的罪行。
068.大陆播出日军细菌部队暴行.txt	3	5	125	据香港《明报》说，电视剧描述当年日军七三一石井细菌部队在中国，把中国人和苏联人当做实验材料“马路大”，让他们感染鼠疫并对其灌输猴血、马血等进行细菌实验，抓来无辜的中国儿童进行活体解剖；把中国百姓赶入高温蒸气室活活烤死；疯狂屠杀暴动逃跑的“马路大”……
068.大陆播出日军细菌部队暴行.txt	4	5	108	北京的青年人在茶余饭后，街谈巷议中，感情激愤地谴责历史上竟有这样惨无人道的行为。一些中老年妇女则在播放这部电视剧时从电视机前跑开，她们说不能忍受其中残暴的画面。画面中“马路大”扭弯的身躯和血淋淋的内脏令她们毛骨悚然。
068.大陆播出日军细菌部队暴行.txt	5	4	59	一位大学教授说：“从这部电视剧可以明白，人一变得残暴起来会比野兽更疯狂。永远都不该忘记日本军国主义对我国犯下的罪行。”
068.大陆播出日军细菌部队暴行.txt	6	3	161	据知，9月份在北京郊区的抗日战争纪念馆，还举办了七三一石井细菌部队“罪证展”，以黑白照片为主，还有一些石井部队实际使用过的实验工具和刑具。参观的大部分是年轻人，他们既震惊又愤怒。青年人说，展览揭示了他们所未曾亲历的一段历史往事，这段历史的残酷性为世界所罕见。重温历史是必要的；忘记过去，就对不起惨死于日军屠刀下的同胞冤魂。
068.大陆播出日军细菌部队暴行.txt	7	4	76	蒋介石是死了，但他的走狗李登辉、郝柏村以下还活着，他们看到这种罪证，比对一下蒋介石对日本“以德报怨”的王八蛋行为，不知作何感想？（1991年10月4日）
069.《中央日报》与口水.txt	3	4	102	参与民进党建党而后与民进党决裂，自创中华社会民主党的“台湾第一战舰”朱高正，最近又成了风云人物。最受瞩目的，则是朱高正为刑法第一百条修废问题，力战多位民进党立委，虽陷身“口水阵”中，亦丝毫无所退让的豪气。
070.“选个国代比叛乱还难”.txt	2	5	99	谢聪敏来电说在彰化他那选区竞选的种种难处，难到“助选人个个要为他买保险”的程度。我说如果容易，民进党会分给你、让你出马去选吗？我又归纳说：“选个国代比叛乱还难。”他为之大笑。（1991年10月5日）
071.“宁入地狱，不坐冤狱”.txt	2	3	174	两年前涉及杀人案被判刑四年确定的黄圣良，检察官通知他8月15日报到服刑，他却留下遗书，强调宁可入地狱，也不愿坐冤狱，自杀身亡；逃亡两年多的真凶庄荣隆看到报导后，良心不安，日前主动投案，告诉法官说，黄圣良确是死得很冤，而当时作证指黄圣良是共犯的何昆伍，也被高雄地院依伪证罪判刑六月，日前由二审法院审理中，高雄地检署和地院相当重视此案，将重新展开调查。
071.“宁入地狱，不坐冤狱”.txt	5	3	118	黄圣良在警讯中自白“槟榔刀如何拿给庄荣隆记不清楚”，检察官侦讯时，他翻供说是遭九如派出所主管杨西川刑求逼供，这句话是杨西川自己写的，强迫他签名，但检察官不采信，杨西川也否认刑求逼供，黄圣良因此被依共同杀人罪提起公诉，并通缉在逃的庄荣隆。
071.“宁入地狱，不坐冤狱”.txt	11	3	118	逃亡两年多的庄荣隆由报纸报导获知黄圣良“死谏”，良心不安，日前向高雄地院投案。他告诉法官，当时他被何大松、何昆伍叔侄打倒在地，随手拿了一把槟榔刀刺伤何大松的大腿，流血过多死亡，黄圣良曾出面劝架，但因劝不开后就走进店内，此案和黄圣良无关。
071.“宁入地狱，不坐冤狱”.txt	14	3	114	黄圣良的遗书载明，他曾当面央请他被捕后为他做笔录的警员林登森为他作证，代他申冤，但林登森拒绝，黄圣良曾暗地录音，录音带也呈交法院，内容大要为：“林登森表示，不能出庭作证害他的主管，就算法官传他出庭，他也不能讲实话，只能作伪证。”
071.“宁入地狱，不坐冤狱”.txt	17	3	60	高雄地检署和地院对这件“死谏”案相当重视，将重新展开调查，杨西川和林登森则仍然否认有刑求逼供情事，表示一切静待法院处理。
075.林荣三真是市侩.txt	3	3	91	为了出刊《自由时报》美洲版，他透露林荣三根本没出一毛钱，钱全是他和另外两位股东出的，他们最后被摆了一道，可见林荣三真是市侩，而这市侩手下的吴阿明、颜文闩之流是什么水准的人，可以知矣！
075.林荣三真是市侩.txt	7	3	201	《美洲自由时报》实际上是一份在台湾编辑排版的“纯台湾”报纸。1990年5月，台北方面与此间由三家广告公司所组成的“美洲自由时报公司”签约，由台北《自由时报》提供版面，透过美洲自由时报公司斥资设置的卫星传版装置，每日与台北的《自由时报》同步在美国洛杉矶印行美洲版。惟在财务上，美洲自由时报公司并非隶属于台北《自由时报》的子公司，而是财务独立的一家着眼于广告业务的公司，它与台北之间仅止于契约上的合作关系。
076.瑞典社会主义出问题.txt	3	5	162	一、社民党在瑞典长期推行“国家福利主义”，使这个人口约840万的北欧国家，贫富差距既小，人民又享有世界最高的生活水平。“瑞典模式”的社会主义一度令全球瞩目。在苏联、东欧的变革潮流中，许多人便主张仿照瑞典模式来推行经济改革。但瑞典民众却抱怨要缴纳世界最高的税款，生活费用高得惊人。过度的政府控制，已导致资金外流，经济陷于萧条。
076.瑞典社会主义出问题.txt	5	4	169	三、瑞典人从出生至老死，都受到一套完善的福利制度保障。这包括退休金、免费医疗和教育、一年有薪产假、多达五星期的年假等。然而，社民党引以为傲的国家福利主义，却为瑞典社会带来沉重的负担。政府推行社会主义式市场经济，向人民征收最高达收入逾七成的所得税（入息税），以支持高昂的国家福利计划。这使经济逐渐失去生机，多年来增长缓慢，公共服务水准下降。
076.瑞典社会主义出问题.txt	6	4	213	四、瑞典物价居世界最高之列。啤酒一杯七美元。一条新款牛仔裤要八十美元。倡议实行自由市场及扫除官僚主义积习的呼声日高。面对求变之声，社民党在选举前已推出几项以市场做主导的改革计划，以图恢复经济活力。去年12月，政府首次削减福利开支，减少国家医疗保险。另一次决定性行动是将税收主要来源从所得项目转移往商品及服务项目。遏抑通胀已成为首要之务。在国际上，瑞典政府前年撤销外汇管制，又放弃恪守多年的中立政府，今年7月申请加入欧洲共同体。
076.瑞典社会主义出问题.txt	7	5	179	五、但从这次大选结果来看，社民党力挽狂澜的改革，似乎未获选民的认同。不少吃了几十年“瑞典模式”社会主义大锅饭的瑞典人，既想改变，又不愿触动既得利益。很多老年人及工人，都反对任何减少他们福利的改革计划。一向支持社民党的工会，也指当局削减福利。另一方面，不少想在自由市场经济中一展身手的瑞典人，对社民党的改革缺乏信心。在两面不讨好的情况下，社民党不得不黯然下台。
076.瑞典社会主义出问题.txt	8	5	56	六、新政府虽然表示实行刺激竞争及生产力的经济政策，不损害福利制度，但新任总理比尔特说：“没人再相信瑞典模式了。”
077.《女人女人》.txt	2	5	114	今晚中视《女人女人》播出百集，播出以我为首的旧节目选辑。播出的是我谈文天祥一段。我当时谈到文天祥是花花公子，对自己肯花钱，家里养个崔苔菁等给他唱歌。结果“崔苔菁”三字被消音。——国民党文网之密，有如此者！（1991年10月8日）
